# min_note_count, min_beat_count, segment_count, bpm, key, note_accuracy, segment_accuracy
4, 1, 10, None, C, 0.86, 0.50
2, 1, 1, 80, C, 1.00, 1.00
2, 1, 20, 80, C, 0.82, 0.75
4, 2, 20, 80, C, 0.75, 0.55
4, 2, 20, 80, C, 0.85, 0.40
4, 2, 20, 80, C, 0.60, 0.40
4, 2, 20, 80, C, 0.71, 0.45
4, 2, 20, 80, C, 0.86, 0.65
4, 2, 20, 80, C, 0.79, 0.65
4, 2, 20, 80, C, 0.92, 0.75
4, 2, 20, 80, C, 0.90, 0.90
4, 2, 20, 80, C, 0.61, 0.50, 730.47
4, 2, 20, 80, C, 0.64, 0.20, 1052.11
4, 2, 20, 80, C, 0.72, 0.50, 622.26
4, 2, 20, 80, C, 0.76, 0.55, 449.58
4, 2, 20, 80, C, 0.84, 0.70, 718.15
4, 2, 20, 80, C, 0.74, 0.55, 722.67
